Object_Id  Timestamp Type Lat Lng 
68 17 point 21.4103150670654 39.8203445293295
32 17 point 21.4429831539781 39.8115729943434
73 17 point 21.4040238786565 39.7940824960438
72 17 point 21.4125458218649 39.8976597893737
3 17 point 21.3373953721693 39.6772951665692
2 17 point 21.4668573146879 39.9018555544682
1 17 point 21.4600577914441 39.8869022738403
0 17 point 21.3490081977056 40.097600956172
85 17 newpoint 21.415766 39.822588
86 17 newpoint 21.437395 39.78053
87 17 newpoint 21.40081 39.815512
88 17 newpoint 21.40455 39.880332
89 17 newpoint 21.495228 39.796452
89 18 point 21.4901545179073 39.79395589695
88 18 point 21.4081565342874 39.8722143548047
87 18 point 21.3993739869422 39.8227032797522
86 18 point 21.439433314154 39.7884706181506
85 18 point 21.4236747058447 39.8200259297438
83 18 point 21.4249489323715 39.8106304189102
82 18 point 21.4212578540315 39.8222879223801
81 18 point 21.4452223401925 39.9696263218454
80 18 point 21.4144253436981 39.6840804111296
77 18 point 21.4591984292751 39.8840232523105
76 18 point 21.3654872916102 39.9725488554692
75 18 point 21.4289918611949 39.8106727196318
71 18 point 21.4741932777385 39.9399967117547
70 18 point 21.3380838881252 39.7880241987266
67 18 point 21.4311915933827 39.7725549782033
66 18 disappearpoint 21.334445 39.787585
65 18 point 21.4269882335779 39.8044008028639
79 18 point 21.4796144688732 39.9188039381419
63 18 point 21.3768510952047 39.9310675428587
62 18 point 21.4358507098467 39.9029209657855
61 18 point 21.6402299579821 39.7071905141461
60 18 point 21.3694007739414 39.8390724052622
59 18 point 21.432682761816 39.6428266521009
58 18 point 21.3950677704948 39.8080541800026
57 18 point 21.4132189443536 39.864567568878
56 18 point 21.4604054812725 39.8918179434653
55 18 point 21.4503001389596 39.8984585691226
54 18 point 21.4034547775847 39.875245151573
53 18 point 21.4483577433689 39.7626418858737
52 18 point 21.3827802429342 39.8687675292435
51 18 point 21.2747000664046 39.9392132797137
50 18 point 21.3599240742712 39.9814322920553
47 18 point 21.3839603562836 39.8319501432953
69 18 point 21.6246446750235 39.6777030550458
45 18 point 21.4588177610035 39.8830481967601
43 18 point 21.4208584537426 39.7802065987208
42 18 point 21.4863930387335 39.9426758275654
78 18 point 21.5481896889142 39.7773800614464
74 18 point 21.4140627152602 39.8631631263132
39 18 point 21.478334508972 39.7835807473916
38 18 point 21.5044712628515 39.9615768078506
37 18 point 21.5593501096528 39.9447210157953
36 18 point 21.4549792344965 39.8759271996718
35 18 point 21.3468722475174 39.7708298172669
31 18 point 21.4540828942236 39.8972920170092
30 18 point 21.4300299907889 39.864007133849
49 18 point 21.4069314998836 39.8613073681847
34 18 point 21.4929844758857 39.9952981207165
48 18 point 21.4985689493514 39.7929678182707
26 18 point 21.5293434765067 39.7850865315811
25 18 point 21.5070959861303 39.7921916842457
24 18 point 21.4547262571437 39.8754485089935
23 18 point 21.4404897773878 39.8422425950697
22 18 point 21.3410195295344 39.7883626525446
21 18 point 21.4775050165112 39.7960920134142
20 18 point 21.3548366733448 39.7884530028234
84 18 point 21.4245957802297 39.788957866213
17 18 point 21.4187070987508 39.8834356744231
16 18 point 21.4494216481686 39.8991422796922
15 18 point 21.3648391689139 39.8901538519795
14 18 point 21.4338988730562 39.8183191512232
13 18 point 21.5216446709947 39.790402558716
12 18 point 21.4403624438342 39.841760952204
11 18 point 21.3579956415796 39.9160892342268
44 18 point 21.4354021342712 39.903663298326
19 18 point 21.4005776262126 39.8803455394131
8 18 point 21.3701192665176 39.8843574631494
68 18 point 21.4036244251702 39.8167152222905
32 18 disappearpoint 21.443941 39.8172
73 18 point 21.4047193702537 39.7947458824705
72 18 point 21.4155054627198 39.8892297954007
3 18 point 21.3349488549626 39.6685177480665
2 18 point 21.4736797122541 39.9078715024826
1 18 point 21.4588949070186 39.8832436062326
0 18 point 21.346205944027 40.0889305608032
90 18 newpoint 21.425039 39.811621
91 18 newpoint 21.687862 39.974116
92 18 newpoint 21.430795 39.856806
93 18 newpoint 21.642002 39.705912
94 18 newpoint 21.354417 39.909765
94 19 point 21.3586518244118 39.9148444159535
93 19 point 21.6333073579367 39.7047392178716
92 19 point 21.4355391546424 39.8497662753689
91 19 point 21.6796620617854 39.9777020523817
90 19 point 21.4273463270877 39.8145784680009
87 19 point 21.3914327112415 39.8254802791794
86 19 point 21.4431856533907 39.794718995338
85 19 point 21.429328825035 39.8148600201758
83 19 point 21.4224666534509 39.802464468128
82 19 point 21.4124847621579 39.8216239212587
81 19 point 21.4490071153624 39.9632245183836
